Label;Split;Style;Action;Business Object;Addition;Tags
deliver motorcycle to customer;;VO;deliver;motorcycle to customer;;
deliver original cr to change coordinator;;VO;deliver;original cr to change coordinator;;
deliver packages to the target addresses;;VO;deliver;packages to the target addresses;;
deliver partsto customer;;VO;deliver;partsto customer;;
deliver presentation;;VO;deliver;presentation;;
deliver product;;VO;deliver;product;;
deliver products to customer;;VO;deliver;products to customer;;
deliver purchase invoice to administration officers;;VO;deliver;purchase invoice to administration officers;;
deliver requests to master data entry department;;VO;deliver;requests to master data entry department;;
deliver the parts;;VO;deliver;the parts;;
deliver the pizza;;VO;deliver;the pizza;;
deliver to customer;;VO;deliver;to customer;;
deliver to guest;;VO;deliver;to guest;;
delivers cart to guest room;;DES / EVENT;delivers;cart;;
delivery;;AN;delivery;;;
delivery pathology report;;NA;report;delivery pathology;;
delivery time;;NA;time;delivery;;
demand more information;;VO;demand;more information;;
demand planning;;AN;planning;demand;;
demand reimboursement;;VO;demand;reimboursement;;
denied;;DES / EVENT;denied;;;
denies request;;DES / EVENT;request;denies;;
deny;;VO;deny;;;
deny insurance and make statement;;VO;deny make;insurance / statement;;
departing flight is available;;DES / EVENT;available;departing flight;;
department assistant signs the certificate;;DES / EVENT;signs;certificate;;
deploy os(apache);;VO;deploy;os(apache);;
deploy os(mysql);;VO;deploy;os(mysql);;
deploy to production;;VO;deploy;to production;;
deploy to qa;;VO;deploy;to qa;;
deploy vm apache;;VO;deploy;vm apache;;
deploy vm mysql;;VO;deploy;vm mysql;;
deploy vm(apache);;VO;deploy;vm(apache);;
deploy vm(mysql);;VO;deploy;vm(mysql);;
deployment;;AN;deployment;;;
deposit check;;VO;deposit;check;;
deposit reimbursementto employee's direct deposit bank account;;VO;deposit;reimbursementto employee's direct deposit bank account;;
deposit the check;;VO;deposit;the check;;
derive the correct part to order;;VO;derive;the correct part to order;;
describe pc problem;;VO;describe;pc problem;;
describe problems happening with computer;;VO;describe;problems happening with computer;;
description;;AN;description;;;
desicion if person becomes a member;;AN;desicion;if person becomes a member;;
design;;VO;design;;;
design & architecture decisions;;NA;;design & architecture decisions;;
design site;;VO;design;site;;
design site 10 days;;VO;design;site10 days;;
design some possible models;;VO;design;some possible models;;
designate status;;VO;designate;status;;
detail service provided;;DES / EVENT;provided;detail service;;
detailed examination of goods;;AN;examination;of goods;;
detailed production scheduling;;AN;scheduling;detailed production;;
details approved;;DES / EVENT;approved;details;;
detain goods for investigation;;VO;detain;goods for investigation;;
detain shipment;;VO;detain;shipment;;
determine action to take on release date;;VO;determine;action to take on release date;;
determine any land action planned;;VO;determine;any land action planned;;
determine approval action;;VO;determine;approval action;;
determine cab approval state;;VO;determine;cab approval state;;
determine date of goods delivery and inform customer;;VO;determine;date of goods delivery and inform customer;;
determine guests to invite;;VO;determine;guests to invite;;
determine if change will be acceptable if more information provided;;VO;determine;if change will be acceptable if more information provided;;
determine if computercan be fixed;;VO;determine;if computercan be fixed;;
determine if personal message is required;;VO;determine;if personal message is required;;
determine if the change request should be approved;;VO;determine;if the change request should be approved;;
determine overhead costs and pricing options;;VO;determine;overhead costs and pricing options;;
determine premiums for special insurance agreementseg: fleet mgt;;VO;determine;premiums for special insurance agreementseg: fleet mgt;;
determine raw materials needed(production engineer);;VO;determine;raw materials needed(production engineer);;
determine sales promotion and sourcing strategy;;VO;determine;sales promotion and sourcing strategy;;
determine senior management approval;;VO;determine;senior management approval;;
determine settlement;;VO;determine;settlement;;
determine shipping cost;;VO;determine;shipping cost;;
determine size of claim;;VO;determine;size of claim;;
determine terms and conditions;;VO;determine;terms and conditions;;
determine their financial requirements;;VO;determine;their financial requirements;;
determining overhead costs and pricing options;;AN;determining;overhead costs and pricing options;;
develop business case;;VO;develop;business case;;
develop final model of mvo;;VO;develop;final model of mvo;;
develop research questions;;VO;develop;research questions;;
develop resolution;;VO;develop;resolution;;
develop site;;VO;develop;site;;
development;;AN;development;;;
development (2 days);;AN;development;;(2 days);
development & implementation;;AN;development implementation;;;
development and unit testing;;AN;development   testing;development and unit;;
development of interview grid;;AN;development;interview grid;;
didn't respond in time;;DES / EVENT;respond;;;
digitalization;;AN;digitalization;;;
director authorizes the payment;;DES / EVENT;authorizes;the payment;;
disapprove;;VO;disapprove;;;
disapprove advertisment;;VO;disapprove;advertisment;;
disburse loan;;VO;disburse;loan;;
discard case (discarded);;VO;discard;case (discarded);;
discharge;;VO;discharge;;;
discuss implementation details;;VO;discuss;implementation details;;
discuss the manifesto;;VO;discuss;the manifesto;;
discuss with the manager adavertising reqirments;;VO;discuss;with the manager adavertising reqirments;;
dispatch motorcycle;;VO;dispatch;motorcycle;;
dispensing cash;;AN;cash;dispensing;;
display flight time table & available airlines;;VO;display;flight time table & available airlines;;
display funding detail fields for editing;;VO;display;funding detail fields for editing;;
"display message ""change search option & try again""";;VO;display;"message ""change search option & try again""";;
display stock / requirements list;;VO;display;stock / requirements list;;
display the availability choice of used book;;VO;display;the availability choice of used book;;
dispose asset;;VO;dispose;asset;;
dispose of goods;;AN;dispose;of goods;;
dispose of lag items that exceed limit;;AN;dispose;of lag items that exceed limit;;
dispose waste;;VO;dispose;waste;;
disregard change request;;VO;disregard;change request;;
distribute cr to cab;;VO;distribute;cr to cab;;
distribute judge's lawsuit;;VO;distribute;judge's lawsuit;;
distributor;;NA;;;;
distributors;;NA;;;;
dividing the marketing budget to certain areas;;AN;dividing;the marketing budget to certain areas;;
dms recieved the payment;;DES / EVENT;received;the payment;;
do allocated daily jobs list;;VO;do;allocated daily jobs list;;
do internal accounting;;VO;do;internal accounting;;
do lab tests;;VO;do;lab tests;;
do not publish offer;;VO;do;not publish offer;;
do qa check on minutes;;VO;do;qa check on minutes;;
do the exam;;VO;do;the exam;;
do the transfer;;VO;do;the transfer;;
document checking;;VO;document;checking;;
document control;;VO;document;control;;
document digital signature;;VO;document;digital signature;;
document receipt of motorcycles;;VO;document;receipt of motorcycles;;
document repair report;;VO;document;repair report;;
document screening;;AN;screening;document;;
does the user have an account?;;GATEWAY;account?;does the user have an;;
dog food details / picking confirmation;;VO;;;;
download;;VO;download;;;
download cards screen;;VO;download;cards screen;;
drafting meetings' schedule;;AN;drafting;meetings' schedule;;
drafts a schedule of meetings;;DES / EVENT;drafts;a schedule of meetings;;
draw two overlord cards;;VO;draw;two overlord cards;;
drink the ordered drinks with your friends;;VO;drink;the ordered drinks with your friends;;
dry bin;;VO;dry;bin;;
duck;;NA;;duck;;
dyspnoea;;NA;;;;
e-mail comfirmation;;AN;comfirmation;e-mail;;
eat the pizza;;VO;eat;the pizza;;
